cadash|Cadash (World)|726.3K
cadashf|Cadash (France)|727.4K
cadashi|Cadash (Italy)|726.0K
cadashj|Cadash (Japan)|727.8K
cadashu|Cadash (US)|726.5K
cairblad|Change Air Blade (Japan)|12.9M
calibr50|Caliber 50|2.1M
calipso|Calipso|19.2K
calspeed|California Speed|247.0K
cameltrj|Cameltry (Japan)|458.8K
cameltry|Cameltry (US)|458.8K
camltrua|Cameltry (US, alt sound)|457.3K
candance|Cannon Dancer (Japan)|6.3M
cannball|Cannon Ball|624.3K
cannonb|Cannon Ball (Crazy Climber hardware)|26.9K
canyon|Canyon Bomber|3.4K
canyonp|Canyon Bomber (prototype)|3.8K
capbowl|Capcom Bowling (set 1)|93.9K
capbowl2|Capcom Bowling (set 2)|93.9K
capitol|Capitol|16.1K
captaven|Captain America and The Avengers (Asia Rev 1.9)|7.1M
captavna|Captain America and The Avengers (Asia Rev 1.0)|7.1M
captavne|Captain America and The Avengers (UK Rev 1.4)|7.1M
captavnj|Captain America and The Avengers (Japan Rev 0.2)|7.1M
captavnu|Captain America and The Avengers (US Rev 1.9)|7.1M
captavuu|Captain America and The Avengers (US Rev 1.6)|7.1M
captcomj|Captain Commando (Japan 911202)|2.4M
captcomm|Captain Commando (World 911014)|2.4M
captcomu|Captain Commando (US 910928)|2.4M
caractn|Car Action|22.4K
carjmbre|Car Jamboree|36.7K
carnevil|CarnEvil|125.0K
carnival|Carnival (upright)|13.6K
carnvckt|Carnival (cocktail)|13.5K
carpolo|Car Polo|5.4K
castfant|Cassette: Astro Fantasia|20.7K
catapult|Catapult|19.5K
catch22|Catch-22 (version 8.0)|238.6K
cavelon|Cavelon|16.8K
cavenger|Cosmic Avenger|21.4K
cawing|Carrier Air Wing (World 901012)|1.4M
cawingj|U.S. Navy (Japan 901012)|1.4M
cawingu|Carrier Air Wing (US 901012)|1.4M
cbasebal|Capcom Baseball (Japan)|711.3K
